flags_flag,Note,DNSBL_dnsbl_Server,DNSBL_dnsbl_Status,DNSBL_dnsbl_txt,ExternalUserID,Stats_Inbox,Stats_Other,Stats_Spam,Stats_NotDelivered,Stats_InboxRate,Stats_SpamRate,Stats_BounceRate,LastError,AutoID,flags_data_size,Barracuda_Headers_Score,Barracuda_Headers_Tag,Barracuda_Headers_Description,Barracuda_Reason,Barracuda_ReasonExtra,HWBarracuda_score,HWBarracuda_status,SenderIP,SenderScore,SenderHostName,Helo,ReturnPath,ReverseHelo,ReverseIP,DNSBL_finished,DNSBL_ipListed,SpamAssassin_Headers_Score,SpamAssassin_Headers_Tag,SpamAssassin_Headers_Description,GoogleApps_Active,GoogleApps_Finished,GoogleApps_Spam,GoogleApps_Phishy,Barracuda_Active,Barracuda_Score,Inboxes_ID,Inboxes_ISP,Inboxes_email,Inboxes_providerGroup,Inboxes_iType,Inboxes_Received,Inboxes_Visible,Inboxes_HeaderID,Inboxes_Delay,Inboxes_ip,Inboxes_ss,Inboxes_bl,Inboxes_spf,Inboxes_finished,SpamAssassin_Active,SpamAssassin_Finished,SpamAssassin_Score,TestID,Created,FirstModified,Finished,DKIM,SPF,Subject,MailFrom
GAPPS_HOTMAIL_INSPAM,paul test 4 - simple text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAPPS_GMAIL_INSPAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAPPS_AOL_INSPAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAPPS_OUTLOOK_INSPAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAPPS_YAHOO_INSPAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAIN_TEXT_TOO_SMALL,,dnsbl.spfbl.net,1,"<a target=""_blank"" href=""https://matrix.spfbl.net/70.39.89.29"">https://matrix.spfbl.net/70.39.89.29</a>",,6,0,32,3,14.63,78.04,7.31,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b.barracudacentral.org,1,"<a target=""_blank"" href=""http://www.barracudacentral.org/rbl/removal-request?address=70.39.89.29"">http://www.barracudacentral.org/rbl/removal-request?address=70.39.89.29</a>",,,,,,,,,,,,0.63,HTML_IMAGE_ONLY_16_2,META: HTML: images with 1200-1600 bytes of words,,,0,,70.39.89.29,n/a,sendwk.net,sendwk.net,bounce177.2029041@sendwk.net,70.39.89.29,70.39.89.29,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,HTML_IMAGE_ONLY_16,BODY: HTML: images with 1200-1600 bytes of words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.01,DATE_IN_FUTURE_03_06,HEADER: Date: is 3 to 6 hours after Received: date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.5,BSF_RULE7568M,META: Custom Rule 7568M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,MIME_HTML_ONLY,BODY: Message only has text/html MIME parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1,BSF_SC0_SA085,META: Custom Rule SA085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,HTML_MESSAGE,BODY: HTML included in message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.42,DATE_IN_FUTURE_03_06_2,META:,,,,,,,,,,,,,,-0.1,DKIM_VALID_EF,Message has a valid DKIM or DK signature from envelope-from domain,True,True,True,False,True,1.66,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,DKIM_VALID,Message has at least one valid DKIM or DK signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,DKIM_VALID_AU,Message has a valid DKIM or DK signature from author's domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,DKIM_SIGNED,"Message has a DKIM or DK signature, not necessarily valid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,MIME_HTML_ONLY,BODY: Message only has text/html MIME parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,HTML_IMAGE_ONLY_16,BODY: HTML: images with 1200-1600 bytes of words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,HTML_MESSAGE,BODY: HTML included in message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SPF_HELO_PASS,SPF: HELO matches SPF record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,DATE_IN_FUTURE_03_06,Date: is 3 to 6 hours after Received: date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SPF_PASS,SPF: sender matches SPF record,,,,,,,13,Zoho.com,verifynewssl@zoho.com,11,Spam,2018-12-20T21:58:53,True,74B99431AD597F09541B93F2,05:00:00,70.39.89.29,n/a,2,pass,True,True,True,4.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Yahoo 5,darianhuffg@yahoo.com,4,Spam,2018-12-20T21:58:56,True,5A7E739BAD597F89521B93F2,05:00:00,70.39.89.29,n/a,2,pass,True,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Yahoo 4,rogertoddw@yahoo.com,4,Spam,2018-12-20T21:59:00,True,3A43ECA3AF597F09541B93F2,05:00:00,70.39.89.29,n/a,2,pass,True,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Yahoo 3,loganbridgesrk@yahoo.com,4,Spam,2018-12-20T21:59:05,True,33F93740AE597F89521B93F2,05:00:00,70.39.89.29,n/a,2,pass,True,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Yahoo 2,emailtester493@yahoo.com,4,Spam,2018-12-20T21:59:09,True,3F22F397AD597F09511B93F2,04:59:59,70.39.89.29,n/a,2,pass,True,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Yahoo (Global),justynbenton@yahoo.com,4,Spam,2018-12-20T21:59:13,True,E0C89503AD597F095A1B93F2,04:59:59,70.39.89.29,n/a,2,pass,True,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Yahoo (Canada),verifyca79@yahoo.ca,4,Spam,2018-12-20T21:59:41,True,F157C905A9597F096D1B93F2,05:00:00,70.39.89.29,n/a,2,pass,True,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,Outlook 8,katlynnbridgesv@outlook.com,3,Spam,2018-12-20T21:59:42,True,312DF774AD597F09601B93F2,00:00:01,70.39.89.29,n/a,2,pass,True,,,,,,,,,,,
